name1,name2,whole_adress,street2,phone,intake1,intake2,intake1a,intake2a,service_code_info,latitude,longitude
South Central Alabama MHC,Behavioral Group Home,674 Hardscramble Road Greenville AL 36037,NA,334-382-1645,NA,NA,NA,NA,MH SUMH * RES * RTCA * CHLOR FLUPH HALOP LOXAP PERPH ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IPT AIM * PVTN * MD SF * PA SS * SMI * TBS MST LABT * SMOP * ADLT SNR YAD * AH * VAPP * COOT FPSY PRS SPS,31.84569986026114,-86.62986631456174
Southern Oaks,Grove Hill Memorial Hospital,295 South Jackson Street Grove Hill AL 36451,NA,251-275-4922,NA,251-275-4035,NA,NA,MH SUMH * HI * IPSY * FLUPH HALOP ARIPI OLANZ QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT GT TELE AIM * PEON * PVTN * MC MD MI OSF PI SF SI VAF * SE ALZ * STU * TBS MST LABT * TCC * SMON * ADLT SNR * AH * VAPN * COOT FPSY CM,31.69436245,-87.77619543915391
Guntersville CBOC,NA,100 Judy Smith Drive Guntersville AL 35976,NA,256-582-4033,NA,NA,NA,NA,SA MH SUMH * OP * VAHC * FLUPH HALOP ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NSC ANTPYCH * CBT CFT GT IPT TELE * CIT WI * FED VAMC * MC MI PI VAF * VET PTSD * STU * SMON * ADLT SNR YAD * AH * VAPN * DEC FPSY SEMP SH VRS CM SPS,NA,NA
Marshall Medical Centers North,Behavioral Health Unit,8000 Alabama Highway 69 Guntersville AL 35976,NA,256-571-8722,NA,256-571-8102,NA,NA,MH SUMH * HI * IPSY * HALOP PROCH TRIFL ARIPI CLOZA OLANZF RISPE NRT ANTPYCH * AT CBT CFT GT IDD IPT AIM * CIT PEON WI * PVTN * CLF MC MD MI OSF PI SCJJ SF SI SMHA VAF * SE CO SMI * STU * HS * TCC * SMON * ADLT YAD * AH SP * VAPN * COOT DEC FPSY IMR LAD PRS SH CM IPC SPS ES,NA,NA
Mountain Lakes Behavioral Healthcare,NA,2409 Homer Clayton Drive Guntersville AL 35976,NA,256-582-3203,NA,800-209-0049,NA,NA,MH SUMH * OP PHDT * CMHC * CHLOR HALOP LOXAP PERPH ARIPI LURAS OLANZ OLANZF QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * CIT * PVTN * CLF MC MD MI PI SF SMHA * PA SS * TAY SE SED SMI * HS PEER * ADLT CHLD SNR YAD * AH * VAPP * ACT COOT FPSY ICM SH CM SPS ES,34.33655075,-86.3118844
Lakeland Community Hospital,Lakeland Senior Care,42024 Highway 195 East Haleyville AL 35565,NA,205-485-7252,NA,NA,NA,NA,MH * HI * IPSY * CHLOR DROPE FLUPH HALOP PERPH PROCH ARIPI CLOZA ILOPE LURAS OLANZ QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT DBT GT IDD IPT TELE AIM * CIT PEON WI * LCCG * MC MD MI PI SI VAF * SE ALZ PEFP * STU * HIVT STDT TBS MST HBT HCT LABT * TCC * SMON * ADLT SNR * AH * VAPN * CDM DEC FPSY IMR CM SPS ES,NA,NA
Northwest Alabama Mental Health Ctr,NA,71 Carraway Drive Haleyville AL 35565,NA,205-486-4111,NA,800-489-3974,NA,NA,SA MH SUMH * OP * OMH * ANTPYCH * AT CBT GT IDD IPT TELE AIM * CIT * PVTN * FQHC * MC MD PI SF * SS * CO SMI * STU * TBS * PEER * ADLT CHLD SNR YAD * AH * VPPD * COOT CM SPS ES,NA,NA
Birmingham VAMC,Huntsville Clinic,500 Markaview Road Huntsville AL 35805,NA,256-535-3100,NA,NA,NA,NA,SA MH SUMH * OP * VAHC * FLUPH HALOP PERPH THIOR TRIFL ARIPI ASENA CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE * CIT WI * FED VAMC * MC MI PI VAF * VET * STU * HIVT STDT TBS MST HBT HCT LABT * HS PEER * TCC * SMON * ADLT SNR YAD * AH SP * VAPN * ACT DEC FPSY ICM PRS SEMP SH VRS CM IPC SPS,NA,NA
Care Clinic,NA,600 Boulevard South SW Huntsville AL 35802,Suite 106,844-782-6963,NA,NA,NA,NA,SA MH SUMH * OP * OMH * IDD KIT TELE * PVTP * ADLT SNR YAD,34.6686576,-86.5737738
Huntsville Hospital,NA,101 Sivley SW Road Huntsville AL 35801,NA,256-265-8123,NA,NA,NA,NA,MH * HI * IPSY * HALOP ARIPI ASENA BREXP CARIP ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT ANTPYCH * CBT ECT GT IPT * PEON * PVTN * CLF MC MD MI PI SF SI VAF * STU * HIVT STDT TBS * TCC * SMON * ADLT SNR * VAPN * CDM FPSY CM SPS ES,34.7204666,-86.58096414730319
Nova Center for Yth and Family Servs,Child and Adolescent,1900 Golf Road SW Huntsville AL 35802,2nd Floor,256-705-6493,256-705-6444,NA,NA,NA,SA MH SUMH * OP PHDT * MSMH * ANTPYCH * AT CBT CFT DBT GT IDD IPT * CIT PEON WI * PVTN * CMHG MC MD MI PI SCJJ SF SI SMHA SWFS * SS * CJ CO * STU * CHLD YAD * COOT FPSY ICM LAD PRS CM SPS ES,34.6793991,-86.57832999656075
Pinnacle Behavioral Health,Intensive Outpatient Program,4812 Commerical Drive NW Huntsville AL 35816,NA,256-518-9998,NA,NA,NA,NA,SA MH SUMH * OP PHDT * OMH * CBT CFT GT IDD IPT TELE * PVTP * CLF CMHG CSBG OSF PI SCJJ SEF SF SMHA * CO TRMA SED * STU * TCC * SMON * CHLD * VAPN * FPSY CM SPS,NA,NA
Synergy Wellness,NA,7105B Bailey Creek Circle Huntsville AL 35802,NA,256-759-9167,NA,NA,NA,NA,SA MH * OP * OMH * NRT NSC * KIT * PEON * PVTP * MC PI SF * STU * HIVT STDT TBS MST HBT HCT LABT * TCC * SMON * ADLT CHLD SNR YAD * VAPN * CDM DEC IMR IPC SPS,NA,NA
Unity Psychiatric Care,NA,5315 Millennium Drive NW Huntsville AL 35806,NA,256-964-6700,NA,NA,NA,NA,MH * HI OP * PSY * ANTPYCH * AT CBT CFT GT IPT TELE * CIT PEON * PVTP * MC MI PI SF SMHA * SE VET MF CO TRMA ALZ PTSD SMI * STU * TCC * SMON * ADLT SNR YAD * AH * VAPN * FPSY IMR LAD PRS CM IPC SPS,34.7533135,-86.6652779
WellStone Acute Care,NA,3911 Triana Boulevard SW Huntsville AL 35805,Suite A,256-650-7527,256-533-1970,NA,NA,NA,SA MH * HI OP PHDT RES * MSMH RTCA * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT DBT GT IPT * CIT PEON * PVTN * MC MD PI SF SI SMHA * PA * SMI * STU * MST LABT * HS * SMON * ADLT YAD * AH * VAPN * COOT FPSY LAD PRS CM IPC SPS ES,34.69585534782608,-86.60947530434782
WellStone Inc,NA,4040 Memorial Parkway SW Huntsville AL 35802,NA,256-533-1970,NA,256-705-6444,NA,NA,SA MH SUMH * OP PHDT * MSMH * CHLOR FLUPH HALOP LOXAP PERPH THIOT ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT DBT GT IDD IPT * CIT PEON PEOFF WI * PVTN * FQHC * CLF CMHG MC MD MI PI SCJJ SF SI SMHA SWFS * SS * SE CJ CO DV PEFP * TBS * PEER * TCC * ADLT SNR YAD * AH * VPPD * ACT AOT COOT FPSY ICM LAD PRS SH CM IPC SPS,34.6571657,-86.5693899
Birmingham VAMC,Jasper Clinic,1454 Jones Dairy Road Jasper AL 35501,NA,205-221-7384,NA,NA,NA,NA,SA MH SUMH * OP * VAHC * FLUPH ARIPI LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT GT IPT TELE * CIT WI * FED VAMC * MC MI PI VAF * VET * STU * TCC * SMON * ADLT SNR YAD * AH * VAPN * FPSY CM SPS,33.834539,-87.242869
Health Connect America,NA,1700 5th Avenue South Jasper AL 35501,NA,205-530-6007,NA,NA,NA,NA,SA MH SUMH * OP * CMHC * CBT CFT DBT GT IDD IPT * PVTP * MD PI SF * PA * TAY SE CO DV TRMA PED PTSD * SMON * ADLT CHLD SNR YAD * VAPN * TPC,33.833588,-87.27996
West Alabama Mental Health Center,Sumter County Office,1121 North Washington Street Livingston AL 35470,NA,205-652-6731,800-239-2901,334-289-2410,NA,NA,SA MH SUMH * OP * CMHC * FLUPH HALOP PERPH ARIPI ASENA BREXP CLOZA OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IDD IPT TELE AIM * CIT * PVTN * CLF CMHG CSBG FG ITU MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * PA SS * CO SMI * HS PEER * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT FPSY ICM SEMP SH CM SPS,32.607235775510205,-88.18322893877551
Beacon Behavioral Health,NA,150 Hospital Drive Luverne AL 36049,NA,334-335-5040,334-319-8724,NA,NA,NA,MH * HI * PSY * NRT NSC * CBT DBT GT IDD IPT TELE AIM * CIT PEON WI * PVTP * MD MI PI SF * TRMA PTSD SED * STU * HIVT STDT TBS MST LABT * TCC * SMON * CHLD * AH * VAPN * CDM DEC FPSY ICM IMR PRS CM IPC SPS ES,NA,NA
Crenshaw Community Hospital,Special Sevices Unit,101 Hospital Circle Luverne AL 36049,NA,334-335-1175,334-335-1194,NA,NA,NA,SA MH SUMH * HI * IPSY * CHLOR HALOP ARIPI CLOZA OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CFT GT IDD IPT TELE AIM * PEON WI * PVTN * ITU MC MD MI PI SF SI SMHA VAF * SE GL VET ADM MF CJ CO HV TRMA TBI PED PEFP PTSD SMI * STU * HIVT STDT TBS MST HBT HCT LABT * TCC * ADLT YAD * VPPD * CDM COOT FPSY IMR PRS CM IPC SPS ES,31.6937493,-86.26470160380265
South Central Alabama CMHC,Crenshaw County MH Clinic,587 Bentley Avenue Luverne AL 36049,NA,334-335-5201,NA,NA,NA,NA,MH SUMH * OP PHDT * CMHC * FLUPH HALOP LOXAP PERPH ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IPT TELE AIM * CIT PEON PEOFF WI * PVTN * MC MD MI PI SF SMHA SWFS VAF * PA SS * SE SED SMI * TBS MST LABT * SMOP * ADLT CHLD SNR YAD * AH * VAPP * COOT FPSY PRS CM SPS,31.70704518737829,-86.26024674582523
South Central Alabama MHC,Graceland/3 Bed Group Home,5590 Hank Williams Road McKenzie AL 36456,NA,334-222-2525 x70339,NA,NA,NA,NA,MH SUMH * RES * RTCA * CHLOR FLUPH HALOP LOXAP PERPH ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IPT AIM * PVTN * MD SF SMHA * PA SS * SMI * TBS MST LABT * SMOP * ADLT SNR YAD * AH * VAPP * COOT FPSY PRS SPS,NA,NA
BayPointe Hospital,NA,5800 Southland Drive Mobile AL 36693,NA,251-661-0153,251-450-2211,NA,NA,NA,SA MH SUMH * HI PHDT RES * PH * CHLOR FLUPH HALOP PROCH TRIFL CLOZA OLANZ QUETI RISPE NRT ANTPYCH * AT CBT DBT GT IDD IPT TELE * CIT PEON WI * PVTN * CMHG MD PI SF * SED * STU * HIVT STDT TBS MST HBT HCT LABT * SMON * CHLD * AH * VAPN * COOT FPSY CM SPS,30.6245858,-88.17748139761758
Baptist Medical Center South,Crossbridge Behavioral Health,4385 Narrow Lane Road Montgomery AL 36116,NA,334-286-5360,334-286-2493,334-286-2492,NA,NA,MH SUMH * HI * IPSY * CHLOR FLUPH HALOP LOXAP PIMOZ PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT GT IPT AIM * PEON * PVTN * MC MD MI PI PCF SF SI SMHA SWFS * TAY SE ALZ SMI * STU * HIVT STDT TBS MST HBT HCT LABT * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT FPSY CM SPS,32.3234633,-86.2813448
Central Alabama VA Healthcare System,West Campus,215 Perry Hill Road Montgomery AL 36109,NA,334-272-4670 x35540,NA,334-272-4670 x35539,NA,NA,SA MH SUMH * OP * VAHC * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IPT TELE * CIT PEON WI * FED VAMC * FQHC * MI PI SF VAF * SE GL VET CJ CO HV DV TRMA TBI PEFP PTSD SMI * STU * HIVT STDT TBS MST HBT HCT LABT * PEER * TCC * SMON * ADLT SNR YAD * AH * VAPN * ACT CDM DEC FPSY IMR LAD CM IPC SPS,32.3771735,-86.2434556
Montgomery Area MH Authority,Beth Manor Crisis Residential Facility,3948 Beth Manor Drive Montgomery AL 36109,NA,334-279-7830 x7621,334-279-7830,NA,NA,NA,MH SUMH * PHDT RES * MSMH * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT TRIFL ARIPI CLOZA OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT GT IPT TELE AIM * CIT PEON * PVTN * MHC * CLF CMHG MC MD MI OSF PI SF SI SMHA * SS * SMI * STU * MST LABT * SMON * ADLT SNR YAD * AH * VAPN * COOT DEC FPSY PRS CM IPC SPS,32.364376,-86.242524
Montgomery Area MH Authority,Crisis Residential Facility,2140 Upper Wetumpka Road Montgomery AL 36107,NA,334-279-7830,NA,NA,NA,NA,SA MH SUMH * OP * CMHC * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT TRIFL ARIPI CLOZA OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT IDD IPT TELE AIM * CIT PEON PEOFF WI * PVTN * CLF CMHG MC MD MI PI SF SI SMHA * SS * SMI * STU * MST LABT * PEER * ADLT SNR YAD * AH * VAPN * ACT COOT FPSY SEMP SH CM SPS,32.38874,-86.2761678
Lawrence County,Adult CM,295 Hospital Street Moulton AL 35650,NA,256-974-6697,256-355-5904,NA,NA,NA,MH * OP * CMHC * PVTN * CLF CMHG CSBG MC MD OSF PI SF SI SMHA * TAY SE CO SMI * SMOP * ADLT SNR YAD * AH * VAPP * COOT FPSY ICM CM,34.483555979591834,-87.28610753061224
Lawrence County,Adult Outpatient,295 Hospital Street Moulton AL 35650,NA,256-974-6697,256-355-5904,NA,NA,NA,MH * OP * CMHC * ANTPYCH * CBT CFT GT IPT * PVTN * CLF CMHG CSBG MC MD OSF PI SF SI SMHA * TAY SE CJ CO SMI * SMOP * ADLT SNR YAD * AH * VAPP * COOT FPSY CM,34.483555979591834,-87.28610753061224
Lawrence County,Child and Adol CM/Hourly Services,295 Hospital Street Moulton AL 35650,NA,256-974-6697,256-355-5904,NA,NA,NA,MH * OP * CMHC * PVTN * CLF CMHG CSBG MC MD OSF PI SEF SF SI SMHA SWFS * CO SED * SMOP * CHLD * AH * VAPP * COOT FPSY ICM CM,34.483555979591834,-87.28610753061224
MHCNCA Inc,Moulton Lawrence Counseling Center,295 Hospital Street Moulton AL 35650,NA,256-974-6697,256-355-5904,NA,NA,NA,MH * OP * CMHC * ANTPYCH * CBT CFT GT IPT TELE * PVTN * CLF CMHG CSBG MC MD OSF PI SF SI SMHA SWFS * TAY SE CJ CO SED SMI * PEER * SMOP * ADLT CHLD SNR YAD * AH * VAPP * COOT FPSY CM,34.483555979591834,-87.28610753061224
Northport Medical Center,North Harbor Psych Pavillion,2700 Hospital Drive Northport AL 35476,NA,205-330-3101,205-330-3838,NA,NA,NA,MH * HI * IPSY * CHLOR FLUPH HALOP ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IPT TELE AIM * PEON WI * PVTN * MC MD MI PI SF SI SMHA VAF * STU * HIVT TBS MST LABT * TCC * SMON * ADLT SNR YAD * AH * VAPN * COOT DEC CM IPC ES,33.2347532,-87.57095112277796
Eastside CMHC,Blount County CMHC,1002 2nd Avenue East Oneonta AL 35121,NA,205-628-3882,205-625-3882,NA,NA,NA,MH * OP * CMHC * HALOP ARIPI CLOZA OLANZ RISPE ANTPYCH * CFT GT IPT TELE * PVTN * CLF CMHG MC MD OSF PI SF SI SMHA * SS * TAY SE CO SED SMI * STU * TBS * TCC * ADLT CHLD SNR YAD * AH * VPPD * COOT FPSY IMR,33.956625367346945,-86.46482524489795
East Alabama Medical Center,Department of Psychiatric Medicine,2000 Pepperell Parkway Opelika AL 36801,NA,334-528-1010 x4198,334-528-4820,NA,NA,NA,MH SUMH * HI * IPSY * CHLOR FLUPH HALOP PERPH PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA OLANZF QUETI RISPE ZIPRA NRT ANTPYCH * AT CBT CFT GT IPT * CIT PEON WI * PVTN * CMHG MC MD MI OSF PI SEF SF SI SMHA VAF * SED SMI * STU * MST LABT * TCC * SMON * ADLT CHLD YAD * AH * VAPN * COOT DEC FPSY SPS ES,32.638159,-85.404239
East Alabama Mental Health Center,Family and Childrens Services Center,2300 Center Hill Drive Opelika AL 36801,Building II,334-742-2112,334-742-2877,NA,NA,NA,SA MH SUMH * OP * CMHC * CBT CFT GT IDD IPT TELE * CIT PEON * PVTN * CLF CMHG CSBG MD PI SEF SF SMHA * GL MF CO TRMA PTSD SED * STU * PEER * CHLD * AH * VPPD * FPSY ICM CM SPS,NA,NA
Rivertown Psychiatry,Opelika,2123 Executive Park Drive Opelika AL 36801,NA,706-223-1933,NA,NA,NA,NA,SA MH SUMH * OP * OMH * FLUPH HALOP LOXAP THIOT ARIPI BREXP ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT IDD IPT TELE AIM * PVTP * MC MD MI PI SF VAF * STU * MST * TCC * SMOP * ADLT CHLD SNR YAD * AH SP FX * F36 * VAPP * DEC FPSY ES,32.62826737916349,-85.43789113505393
Mizell Memorial Hospital,Senior Care Behavioral Unit,702 North Main Street Opp AL 36467,NA,334-493-9134,NA,NA,NA,NA,MH SUMH * HI * IPSY * CHLOR FLUPH HALOP PROCH ARIPI OLANZ PALIP QUETI RISPE ZIPRA NRT ANTPYCH * AT CBT DBT GT IPT TELE AIM * PEON * PVTN * MC MD MI PI SF SI VAF * SE VET CO TBI ALZ PED PEFP PTSD * STU * HIVT STDT TBS MST HBT HCT LABT * TCC * SMON * ADLT SNR * VAPN * CDM COOT DEC IMR PRS VRS CM SPS ES,31.2928787,-86.25490030241093
Birmingham VAMC,Anniston Oxford Clinic,96 Ali Way Creekside Street Oxford AL 36203,NA,256-832-4141,NA,256-832-4142,NA,NA,SA MH SUMH * OP * VAHC * CHLOR FLUPH HALOP PERPH THIOT THIOR ARIPI CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT GT IPT TELE * CIT WI * FED VAMC * MC MI PI VAF * VET * STU * PEER * TCC * SMON * ADLT SNR YAD * AH * VAPN * ICM IPC SPS,NA,NA
Dale Medical Center,New Day Psychiatric Unit,126 Hospital Avenue Ozark AL 36360,NA,334-774-7352,NA,334-774-2601 x1090,NA,NA,MH SUMH * HI * IPSY * CHLOR FLUPH HALOP PERPH THIOT ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT ECT GT IDD IPT AIM * PVTP * MC MD MI PI SF SMHA VAF * SE SMI * SMON * ADLT SNR YAD * AH * VAPN * COOT,31.4511675,-85.6320623498164
SpectraCare Health Systems,Dale County/Clinic and Day Trt,134 Katherine Avenue Ozark AL 36360,NA,800-951-4357,NA,NA,NA,NA,MH SUMH * OP * CMHC * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * CIT * PVTN * CLF CMHG MC MD MI OSF PI SF SMHA * SS * CO PED SED SMI * TCC * ADLT CHLD SNR YAD * AH SP * VPPD * ACT COOT DEC FPSY ICM PRS SH CM SPS,31.453128121635867,-85.6337236627476
Central Alabama Wellness,NA,2100 County Services Drive Pelham AL 35124,NA,205-651-0077,NA,NA,NA,NA,SA MH SUMH * OP * CMHC * FLUPH HALOP ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * CIT WI * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS * SS * SED SMI * STU * PEER * ADLT CHLD SNR YAD * AH * VPPD * COOT FPSY IMR SEMP CM,33.282083,-86.795398
Family/Youth Intervention Junior,Family and Youth Interv Programs,2280 Highway 35 Pelham AL 35124,NA,205-682-6186,205-663-1252,NA,NA,NA,MH * OP * CBT CRT DBT GT IPT * PVTN * MD SMHA * SED * SMON * CHLD * AH * VAPN * FPSY CM,NA,NA
Eastside CMHC,Saint Clair County CMHC,625 15th Street North Pell City AL 35125,NA,205-338-7525,NA,NA,NA,NA,MH * OP * CMHC * HALOP ARIPI CLOZA OLANZ RISPE ANTPYCH * CFT GT IPT TELE * PVTN * CLF CMHG MC MD OSF PI SF SI SMHA * SS * TAY SE CO SED SMI * STU * TBS * TCC * ADLT CHLD SNR YAD * AH * VPPD * COOT FPSY IMR,33.59328393989224,-86.28714381571152
Birmingham VAMC,Gadsden Clinic,206 Rescia Avenue Rainbow City AL 35906,NA,256-413-7154,NA,NA,NA,NA,MH SUMH * OP * VAHC * FLUPH HALOP ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT GT IPT TELE * CIT WI * FED VAMC * MC MI PI VAF * VET * STU * PEER * TCC * SMON * ADLT SNR YAD * AH * VAPN * DEC FPSY ICM IPC SPS,NA,NA
SpectraCare Health Systems,Geneva County Day Treatment,10386 West State Highway 52 Samson AL 36477,NA,800-951-4357,NA,NA,NA,NA,MH SUMH * OP PHDT * CMHC * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IDD IPT TELE * PEON PEOFF * PVTN * CLF CMHG MC MD MI OSF PI SF SMHA * CO SMI * STU * ADLT SNR YAD * AH * VPPD * CDM COOT FPSY IMR PRS CM SPS,NA,NA
Birmingham VAMC,Shoals Area Clinic,422 Cox Boulevard Sheffield AL 35660,Suite DD,256-381-9055,NA,NA,NA,NA,SA MH SUMH * OP * VAHC * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ ARIPI ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT GT IDD IPT TELE * CIT WI * FED VAMC * MC MI PI VAF * VET * STU * TCC * SMON * ADLT SNR YAD * AH * VAPN * COOT DEC FPSY ICM CM IPC SPS,34.75192454973912,-87.6805228136235
Community Hospital,NA,805 Friendship Road Tallassee AL 36078,NA,334-283-6541 x3870,334-283-3859,334-283-3870,NA,NA,MH SUMH * HI * IPSY * HALOP RISPE ZIPRA NRT ANTPYCH * AT CBT GT IPT AIM * PVTN * MC MD MI OSF PI SEF SF SI * SE VET ALZ PED PTSD * STU * MST * TCC * SMON * ADLT SNR * SP * VAPN * CM ES,32.533909800000004,-85.9122466
East Central Mental Health Center,NA,200 Cherry Street Troy AL 36081,NA,334-566-6022,334-566-6022 x50202,NA,NA,NA,SA MH SUMH * OP * CMHC * CBT CFT GT IDD IPT TELE * WI * PVTN * CLF MC MD MI PI SF SMHA SWFS * SS * CO * STU * PEER * ADLT SNR YAD * AH * VAPN * COOT FPSY ICM CM SPS ES,31.8090307,-85.97402668168264
Bryce Hospital,NA,1651 Ruby Tyler Parkway Tuscaloosa AL 35404,NA,205-507-8000,NA,NA,NA,NA,SA MH SUMH * HI RES * PSY * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOR ARIPI BREXP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NSC ANTPYCH * AT GT IPT * STG * MC OSF SEF SI SMHA * SE CJ SMI * STU * MST LABT * PEER * TCC * SMON * ADLT SNR YAD * AH * VAPN * DEC LAD SH VRS IPC SPS ES,33.20899945213223,-87.51624553459504
Bullock County Hospital,Gateway/Golden Years,102 West Conecuh Avenue Union Springs AL 36089,NA,334-738-2140,334-473-9067,334-738-1453,NA,NA,SA MH SUMH * HI * IPSY * CHLOR FLUPH HALOP ARIPI OLANZ PALIP QUETI RISPE ZIPRA NRT ANTPYCH * AT CBT DBT GT IDD IPT TELE * CIT PEON WI * PVTP * MC MD MI PI SEF SF SI SMHA VAF * SE GL VET ADM MF CJ CO HV TRMA ALZ PED PEFP PTSD SMI * STU * HIVT STDT TBS MST LABT * TCC * ADLT SNR YAD * AH * VAPN * CDM COOT DEC FPSY CM IPC ES,32.14623282498443,-85.71357450093427
Bullock County Satellite,NA,202 Abercrombie Street Union Springs AL 36089,NA,334-738-5279,844-335-4537,334-566-6022 x50200,NA,NA,MH SUMH * OP * CMHC * CBT CFT GT IDD IPT TELE * WI * PVTN * CLF MC MD MI PI SF SMHA SWFS * SS * CO * STU * PEER * ADLT CHLD SNR YAD * AH * VAPN * COOT FPSY ICM CM SPS ES,32.14600816314029,-85.71188508746951
SpectraCare Health Systems,Webb Group Home,6150 Old Webb Road Webb AL 36376,NA,334-712-9191,334-794-0731,NA,NA,NA,MH * RES * RTCA * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT GT IPT TELE * PEON * PVTN * CSBG MC MD PI SF * SE VET SMI * ADLT SNR YAD * AH * VPPD * IMR,31.253040581088303,-85.29478102506509
Northwest Medical Center,NA,1530 U.S. Highway 43 Winfield AL 35594,NA,205-487-7000,205-487-7000 x7916,205-487-7000 x7853,NA,NA,MH SUMH * HI * IPSY * FLUPH HALOP ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CFT GT IPT TELE * PEON WI * LCCG * MC MD MI PI SF VAF * SE VET CO ALZ * STU * MST LABT * TCC * SMON * ADLT SNR * AH * VAPN * DEC FPSY CM SPS ES,NA,NA
AK Child and Family,NA,4600 Abbott Road Anchorage AK 99507,NA,907-346-2101,NA,NA,NA,NA,SA MH SUMH * RES * ORES * ARIPI LURAS QUETI RISPE ANTPYCH * CBT CFT DBT GT IDD IPT TELE * PVTN * MD MI PI SF SI * CO TRMA PTSD SED SMI * STU * SMON * CHLD YAD * VAPN * DEC FPSY ICM IMR PRS CM SPS ES,61.137434,-149.796776
